street;street_type;lat;lon;named_after_person;annotation
Векторная улица;жилая улица;54.9473658;83.2084275;False;Векторная улица — обычный городской топоним.
Барнаульская улица;магистраль;54.7519076;83.1429172;False;Барнаульская улица — обычный городской топоним.
Магазинный переулок;улица;54.7660586;83.2151722;False;Магазинный переулок — обычный городской топоним.
2-я Пограничная улица;улица;55.201735;82.8201153;False;2-я Пограничная улица — обычный городской топоним.
34-я улица;жилая улица;55.2173657;82.8098496;False;34-я улица — обычный городской топоним.
улица Резина;жилая улица;54.7525591;83.0983447;False;улица Резина — обычный городской топоним.
Водобачная улица;ул. районного значения;54.7685905;83.0979201;False;Водобачная улица — обычный городской топоним.
Аэродромная улица;жилая улица;54.744955;83.1018848;False;Аэродромная улица — обычный городской топоним.
улица Л.Чайкиной;жилая улица;54.7551499;83.1111598;False;улица Л.Чайкиной — обычный городской топоним.
Банковский переулок;жилая улица;54.7551797;83.1100162;False;Банковский переулок — обычный городской топоним.
улица Химиков;жилая улица;54.794309;83.18911;False;улица Химиков — обычный городской топоним.
На электричку;тропинка;54.9495872;83.1892237;False;На электричку — обычный городской топоним.
улица Пионов;проезд;54.8345958;83.2430251;False;улица Пионов — обычный городской топоним.
улица Садоводов;проезд;54.8338923;83.2398816;False;улица Садоводов — обычный городской топоним.
Жаворонков;проезд;54.833971;83.2426322;False;Жаворонков — обычный городской топоним.
Полесье;проезд;54.8347925;83.2438231;False;Полесье — обычный городской топоним.
улица Огородников;проезд;54.8349961;83.2488628;False;улица Огородников — обычный городской топоним.
Лесостепная улица;проезд;54.8338454;83.2435361;False;Лесостепная улица — обычный городской топоним.
Оазис;проезд;54.8370435;83.2473431;False;Оазис — обычный городской топоним.
Ветвистая улица;проезд;54.8369556;83.2491734;False;Ветвистая улица — обычный городской топоним.
Запрудная улица;проезд;54.835693;83.2471086;False;Запрудная улица — обычный городской топоним.
Плодородная улица;проезд;54.8361701;83.2478193;False;Плодородная улица — обычный городской топоним.
Добрососедская улица;проезд;54.8352669;83.246518;False;Добрососедская улица — обычный городской топоним.
Мелисса;проезд;54.8320346;83.2447116;False;Мелисса — обычный городской топоним.
Заросшая дорога, поваленные деревья на пути;грунтовая дорога;54.8189489;83.2201741;False;Заросшая дорога, поваленные деревья на пути — обычный городской топоним.
Автодорога 7 (часть 2);ул. районного значения;54.9321973;83.1869793;False;Автодорога 7 (часть 2) — обычный городской топоним.
Небесная улица;жилая зона;54.8427812;83.2589942;False;Небесная улица — обычный городской топоним.
опасный мост;тропинка;55.1871034;82.5604485;False;опасный мост — обычный городской топоним.
старая колея в траве;тропинка;55.1849623;82.5658757;False;старая колея в траве — обычный городской топоним.
2-я Заречная улица;жилая улица;55.2638422;82.9026547;False;2-я Заречная улица — обычный городской топоним.
Центральный переулок;жилая улица;55.2613694;82.9101302;False;Центральный переулок — обычный городской топоним.
2-я Октябрьская улица;жилая улица;54.7507274;83.0778413;False;2-я Октябрьская улица — обычный городской топоним.
Журавлиная улица;жилая улица;54.746318;83.0786978;False;Журавлиная улица — обычный городской топоним.
Прохладный переулок;жилая улица;54.7415947;83.0859843;False;Прохладный переулок — обычный городской топоним.
Отрадный переулок;жилая улица;54.7411313;83.0842325;False;Отрадный переулок — обычный городской топоним.
Белокаменная улица;ул. районного значения;54.7355738;83.0721336;False;Белокаменная улица — обычный городской топоним.
улица Великороссов;жилая улица;54.711956;83.0833002;False;улица Великороссов — обычный городской топоним.
47-я улица;проезд;54.7116405;83.0886823;False;47-я улица — обычный городской топоним.
улица 8;проезд;54.7221056;83.0860651;False;улица 8 — обычный городской топоним.
улица 9;проезд;54.7216942;83.0864223;False;улица 9 — обычный городской топоним.
улица 12;проезд;54.7196737;83.0868598;False;улица 12 — обычный городской топоним.
улица 10;проезд;54.7208535;83.0863212;False;улица 10 — обычный городской топоним.
улица 13;проезд;54.7190262;83.0868706;False;улица 13 — обычный городской топоним.
улица 14;проезд;54.7184851;83.0872868;False;улица 14 — обычный городской топоним.
улица 15;проезд;54.7178272;83.0873874;False;улица 15 — обычный городской топоним.
улица 16;проезд;54.717213;83.08759;False;улица 16 — обычный городской топоним.
улица 17;проезд;54.7165514;83.0876811;False;улица 17 — обычный городской топоним.
улица 18;проезд;54.7160386;83.088065;False;улица 18 — обычный городской топоним.
улица 21;проезд;54.7148244;83.0899498;False;улица 21 — обычный городской топоним.
1-я Лесная улица;проезд;54.7692203;83.0708166;False;1-я Лесная улица — обычный городской топоним.
7-я Садовая улица;проезд;54.9713005;83.2608787;False;7-я Садовая улица — обычный городской топоним.
1-я Садовая улица;проезд;54.9731537;83.2641446;False;1-я Садовая улица — обычный городской топоним.
3-я Садовая улица;проезд;54.9721141;83.2659588;False;3-я Садовая улица — обычный городской топоним.
2-я Садовая улица;проезд;54.9725921;83.2665865;False;2-я Садовая улица — обычный городской топоним.
4-я Садовая улица;проезд;54.9720128;83.2646693;False;4-я Садовая улица — обычный городской топоним.
5-я Садовая улица;проезд;54.9718754;83.2630111;False;5-я Садовая улица — обычный городской топоним.
6-я Садовая улица;проезд;54.9715972;83.2619318;False;6-я Садовая улица — обычный городской топоним.
Сиреневый проспект;улица;54.9702341;83.2680728;False;Сиреневый проспект — обычный городской топоним.
Пионовая улица;проезд;54.9687787;83.2708336;False;Пионовая улица — обычный городской топоним.
Радужный Переулок;проезд;55.2699387;82.8823903;False;Радужный Переулок — обычный городской топоним.
Спортивный Переулок;проезд;55.2721073;82.884558;False;Спортивный Переулок — обычный городской топоним.
Светлый Переулок;проезд;55.2667444;82.8807971;False;Светлый Переулок — обычный городской топоним.
Весенний Переулок;проезд;55.2675202;82.8813032;False;Весенний Переулок — обычный городской топоним.
Рассветный Переулок;проезд;55.2682758;82.881841;False;Рассветный Переулок — обычный городской топоним.
Вишнёвый Переулок;проезд;55.2705976;82.8834475;False;Вишнёвый Переулок — обычный городской топоним.
Калиновый Переулок;проезд;55.2659219;82.8804861;False;Калиновый Переулок — обычный городской топоним.
2-й Фабричный переулок;жилая улица;55.2583508;82.9110673;False;2-й Фабричный переулок — обычный городской топоним.
1-й Фабричный переулок;жилая улица;55.2598833;82.9117077;False;1-й Фабричный переулок — обычный городской топоним.
улица Тьюринга;жилая зона;54.8433676;83.1815091;False;улица Тьюринга — обычный городской топоним.
улица 1А-й квартал;жилая улица;55.1994902;83.2863912;False;улица 1А-й квартал — обычный городской топоним.
6-я аллея;жилая улица;55.1157819;82.5690401;False;6-я аллея — обычный городской топоним.
4-я аллея;жилая улица;55.1143796;82.5709201;False;4-я аллея — обычный городской топоним.
3-я аллея;жилая улица;55.1137236;82.5717418;False;3-я аллея — обычный городской топоним.
улица Авиаторов;жилая улица;54.7432686;83.0994854;False;улица Авиаторов — обычный городской топоним.
Лунный переулок;жилая улица;55.0980117;82.6386849;False;Лунный переулок — обычный городской топоним.
улица Барлакская;жилая улица;55.2658833;82.9086126;False;улица Барлакская — обычный городской топоним.
улица Первых Коммунаров;ул. районного значения;54.7019176;82.5496392;False;улица Первых Коммунаров — обычный городской топоним.
Белокаменный переулок;жилая улица;54.735392;83.0778483;False;Белокаменный переулок — обычный городской топоним.
Кристальная улица;жилая улица;54.7335528;83.071622;False;Кристальная улица — обычный городской топоним.
Рубиновый переулок;жилая улица;54.7378992;83.0651276;False;Рубиновый переулок — обычный городской топоним.
Хрустальный переулок;жилая улица;54.7386478;83.0643056;False;Хрустальный переулок — обычный городской топоним.
Янтарный переулок;жилая улица;54.7371666;83.0659026;False;Янтарный переулок — обычный городской топоним.
Здоровая улица;проезд;55.2509222;82.9732996;False;Здоровая улица — обычный городской топоним.
Купеческая улица;жилая улица;55.2487872;82.9792304;False;Купеческая улица — обычный городской топоним.
Свободная улица;проезд;55.2503108;82.9836256;False;Свободная улица — обычный городской топоним.
улица Солнечная Поляна;жилая улица;54.9326534;83.1958902;False;улица Солнечная Поляна — обычный городской топоним.
Дубравная улица;жилая улица;54.9303553;83.1847375;False;Дубравная улица — обычный городской топоним.
Краснокалинная улица;жилая улица;54.9285708;83.2016948;False;Краснокалинная улица — обычный городской топоним.
Малая Совиная улица;жилая улица;54.9305195;83.1976612;False;Малая Совиная улица — обычный городской топоним.
улица Подгорбунского;жилая улица;54.8103898;82.600566;False;улица Подгорбунского — обычный городской топоним.
Творческая улица;жилая зона;54.8386162;83.2561916;False;Творческая улица — обычный городской топоним.
Горная улица;грунтовая дорога;54.8399828;83.2528461;False;Горная улица — обычный городской топоним.
Ивовый проезд;жилая зона;54.8433915;83.2622544;False;Ивовый проезд — обычный городской топоним.
