street;street_type;lat;lon
улица Виктора Звонарёва;жилая улица;55.0711512;83.0404195
улица Павла Кондратенко;жилая улица;55.0707113;83.0415373
Берёзовая роща;пригород;55.0452607;82.9570887
Песчаная улица;жилая улица;55.1262554;82.9554086
улица Михаила Гудкова;жилая улица;54.9863682;82.7809532
Заельцовский бор;улица;55.0935893;82.8515996
Восток;улица;54.8243064;83.1460824
Учебный центр УВД;улица;54.9949652;82.8029297
Бугринская роща;улица;54.9744546;82.9380774
Бердский залив;улица;54.7309748;83.1754638
Спартак;улица;55.0382849;82.9250606
БЦ Citycenter;улица;55.0290932;82.926279
Культура;улица;54.9482208;82.9297773
Генетик;улица;54.8558677;83.1883893
Экспериментатор;улица;54.8681022;83.1730668
Авторынок;улица;54.9452246;82.874162
Стрелочная;улица;54.9681953;83.0661487
Поликлиника;улица;54.9352575;82.9109435
ГУК ПЭТС СО РАХН;улица;54.9105441;82.9836004
Конструкторско-технологический институт;улица;54.8619901;83.0935985
Фаворит;улица;54.8624661;83.0922514
Бригантина;улица;55.0424402;82.9006515
Санаторий 'Ревиталь парк';улица;55.0996091;82.8089589
Инюшенский бор;улица;54.9996594;82.9985448
Путеец;улица;54.8872026;83.039485
Бывшая ТС;улица;54.8605662;83.0995452
Иня;улица;54.9757196;83.0561225
Управление энергетики и водоснабжения;улица;54.8552433;83.1132735
Водопроводная насосная станция;улица;55.0530192;82.8876115
PepsiCo;улица;54.9462791;82.9297181
Колосс;улица;54.9477267;82.9291546
Логотех;улица;54.9461185;82.9237428
МКП ПАТС;улица;54.9477457;82.9253569
ООО Гулливер;улица;54.9450899;82.9257932
Сибирская Пивоварня Хейнекен;улица;54.94281;82.9287321
База НГТС;улица;54.9486996;82.9189564
Гринвиль;улица;54.9489254;82.9126605
Зернопродукт;улица;54.9478674;82.9125139
Спецавтохозяйство;улица;54.9463559;82.9144182
НЗСК;улица;55.0041914;82.8812621
СК Стройэнергоальянс;улица;55.0056026;82.8790965
Котельная;улица;55.0729125;82.8970324
Горводоканал;улица;55.0701108;82.9044072
Центр профессиональной подготовки ГУ МВД РФ;улица;55.0675883;82.9037464
Ростехнадзор;улица;55.0528724;82.8856943
Биатлонный комплекс;улица;55.0532059;83.0387046
Кольцово;town;54.9215434;83.2081326
Бердск;город;54.7437303;83.0966762
Хозяйственные товары;улица;55.041744;82.924942
Быстромолл;улица;54.8603289;83.109171
Газпромнефть;улица;54.9784064;83.0247035
Сибгидромехстрой;улица;54.9498261;82.8599643
Сибирские ресурсы;улица;54.9497019;82.8613284
Администрация Кировского района;улица;54.9412577;82.9009631
ПКиО Бугринская роща;улица;54.9713516;82.9571015
ПКиО 'Берёзовая роща';улица;55.046712;82.9516369
Sagittarius;улица;55.1267967;82.9688857
Дом Актёра;улица;55.0280164;82.924745
остров Кустовой;улица;54.9826997;82.9649916
Клещихинское кладбище;улица;54.9490523;82.8106131
урочище Высотинка;улица;54.9022868;82.643431
Микрорайон;улица;55.0850921;82.6432796
ЖК Седьмое небо;улица;55.0412343;82.9451023
Дивногорский микрорайон;улица;55.0252646;82.8069859
Институт ФСБ;улица;55.0481009;82.9168709
Близкий микрорайон;улица;55.1221397;83.043193
Терминал А (внутренних линий);улица;55.0096971;82.6673567
Veka;улица;55.0746537;82.6781404
Свинокомплекс;улица;55.069891;82.7000527
Алютех;улица;55.0367452;82.7757088
Гаражный комплекс;улица;55.0476548;82.8892568
Бугринский пляж;улица;54.9757825;82.956222
пролив Курья;улица;55.1030687;82.6541413
Озеро Собачье;улица;55.0351824;83.010047
озеро Каинка;улица;54.8708192;83.1365007
Вера;улица;54.8154099;83.1716012
Полянка;улица;54.8074601;83.1784921
Утилизация твердых бытовых отходов;улица;54.8911858;83.1551448
Сибирьбуровод;улица;54.9334912;83.1448342
Ельцовская;улица;55.0644448;82.9026954
Огромка;улица;54.9489561;83.1036034
Прайм;улица;55.0314896;83.0030847
Автобусный отстойник;улица;54.9889287;83.0390538
Насосно-фильтровальная станция №1;улица;54.9519399;82.9856519
микрорайон Фламинго;улица;54.9249766;82.9134015
Жилой комплекс «На Ельцовской»;улица;55.0463972;82.8865304
INFINITY;улица;55.1171571;82.9318629
Онега;улица;55.1151807;82.9303769
НТЖТ;улица;54.9521104;83.1108925
Берёзовое;пригород;54.9378117;83.1067403
Орловка;пригород;54.9490594;83.1634083
Барышево;деревня;54.9610314;83.1787854
Идиллия;улица;55.0525005;82.9042166
ПТОЛ;улица;54.9632348;83.1166269
Orion;улица;54.9508103;82.9390178
квартал Согласия;улица;54.9729239;82.7504395
квартал Королёва;улица;54.9766404;82.762788
квартал Джобса;улица;54.9773773;82.7652999
Первый квартал;улица;54.9818655;83.1463767
Второй квартал;улица;54.9791462;83.1475906
Третий квартал;улица;54.980074;83.1506955
Четвёртый квартал;улица;54.980847;83.1537819
ЖК «Европейский берег»;улица;54.9918587;82.9707611
Пятёрочка;улица;54.9752429;83.0851866
Жилой дом «Виноград»;улица;54.9768062;83.085084
Торговый центр на Ключ-Камышенском плато;улица;54.9894039;83.0391523
